tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,d1_ATP,d1_Date,d1_Series,d1_Court,d1_Surface,d1_Round,d1_Best of,d1_WRank,d1_LRank,d1_WPts,d1_LPts,d1_W1,d1_L1,d1_W2,d1_L2,d1_W3,d1_L3,d1_W4,d1_L4,d1_W5,d1_L5,d1_Wsets,d1_Lsets,d1_Comment,d1_B365W,d1_B365L,d1_PSW,d1_PSL,d1_MaxW,d1_MaxL,d1_AvgW,d1_AvgL
2024-0339,Brisbane,Hard,32,A,20240101,290,208286,,,Matteo Arnaldi,R,185.0,ITA,22.8,127760,,Q,Lukas Klein,R,193.0,SVK,25.7,6-4 3-6 7-5,3,R16,124.0,9.0,3.0,80.0,44.0,37.0,21.0,15.0,2.0,4.0,5.0,3.0,87.0,50.0,42.0,17.0,16.0,2.0,5.0,44,1021,170.0,359.0,1,1/3/2024,ATP250,Outdoor,Hard,2nd Round,3,44,170.0,1021,359.0,6.0,4.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.53,2.5,1.61,2.49,1.65,2.6,1.54,2.43
2024-0339,Brisbane,Hard,32,A,20240101,289,104745,,WC,Rafael Nadal,L,185.0,ESP,37.5,106186,,WC,Jason Kubler,R,178.0,AUS,30.6,6-1 6-2,3,R16,84.0,4.0,3.0,46.0,30.0,24.0,10.0,8.0,4.0,4.0,1.0,3.0,46.0,35.0,20.0,2.0,7.0,2.0,6.0,672,45,102.0,631.0,1,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,672,102.0,45,631.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.17,5.93,1.18,5.93,1.15,5.22
2024-0339,Brisbane,Hard,32,A,20240101,288,111442,,,Jordan Thompson,R,183.0,AUS,29.7,200005,4.0,,Ugo Humbert,L,188.0,FRA,25.5,W/O,3,R16,0.0,,,,,,,,,,,,,,,,,,,55,902,20.0,1765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-0339,Brisbane,Hard,32,A,20240101,287,208014,,WC,Rinky Hijikata,R,178.0,AUS,22.8,207830,,Q,Tomas Machac,R,183.0,CZE,23.2,5-7 6-2 7-6(4),3,R16,148.0,11.0,4.0,104.0,64.0,44.0,23.0,16.0,10.0,13.0,6.0,2.0,89.0,61.0,45.0,12.0,16.0,1.0,5.0,71,744,78.0,722.0,1,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,71,78.0,744,722.0,5.0,7.0,6.0,2.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.62,2.66,1.54,2.66,1.62,2.48,1.53
2024-0339,Brisbane,Hard,32,A,20240101,286,105777,2.0,,Grigor Dimitrov,R,191.0,BUL,32.6,127157,,,Daniel Altmaier,R,188.0,GER,25.3,6-1 6-2,3,R16,67.0,6.0,1.0,41.0,26.0,24.0,10.0,8.0,3.0,3.0,3.0,3.0,49.0,28.0,17.0,6.0,7.0,2.0,6.0,14,2570,56.0,891.0,1,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,14,56.0,2570,891.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.13,7.16,1.15,7.16,1.13,5.83
2024-0339,Brisbane,Hard,32,A,20240101,285,208029,1.0,,Holger Rune,R,188.0,DEN,20.6,126845,,,Max Purcell,R,185.0,AUS,25.7,4-6 6-4 6-2,3,R32,100.0,12.0,0.0,72.0,58.0,43.0,8.0,14.0,3.0,5.0,6.0,3.0,74.0,48.0,35.0,13.0,14.0,2.0,6.0,8,3660,45.0,1012.0,1,1/1/2024,ATP250,Outdoor,Hard,1st Round,3,8,45.0,3660,1012.0,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,4.0,1.32,3.68,1.32,4.01,1.28,3.65
2024-0339,Brisbane,Hard,32,A,20240101,284,207686,,,Alexander Shevchenko,R,185.0,KAZ,23.0,209414,,,Luca Van Assche,R,178.0,FRA,19.6,6-3 6-2,3,R32,75.0,6.0,0.0,52.0,35.0,26.0,13.0,9.0,2.0,2.0,3.0,1.0,59.0,37.0,21.0,11.0,8.0,4.0,7.0,48,947,90.0,687.0,1,12/31/2023,ATP250,Outdoor,Hard,1st Round,3,48,90.0,947,687.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.78,2.14,1.78,2.32,1.7,2.14
2024-0339,Brisbane,Hard,32,A,20240101,283,105902,,Q,James Duckworth,R,183.0,AUS,31.9,200670,,,J J Wolf,R,183.0,USA,25.0,6-3 6-4,3,R32,63.0,7.0,0.0,52.0,36.0,31.0,11.0,10.0,1.0,1.0,7.0,1.0,44.0,32.0,27.0,4.0,9.0,2.0,4.0,116,573,53.0,910.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,116,53.0,573,910.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.21,1.74,2.4,1.74,2.24,1.63
2024-0339,Brisbane,Hard,32,A,20240101,282,105870,,,Yannick Hanfmann,R,193.0,GER,32.1,200624,5.0,,Sebastian Korda,R,196.0,USA,23.4,7-5 6-4,3,R32,96.0,4.0,0.0,65.0,50.0,35.0,9.0,11.0,3.0,4.0,12.0,3.0,72.0,40.0,29.0,14.0,11.0,3.0,6.0,51,914,24.0,1530.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,51,24.0,914,1530.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.5,1.2,4.54,1.25,4.54,1.25,4.16,1.22
2024-0339,Brisbane,Hard,32,A,20240101,281,126128,,,Roman Safiullin,R,185.0,RUS,26.4,210097,3.0,,Ben Shelton,L,193.0,USA,21.2,6-3 6-7(5) 6-3,3,R32,157.0,8.0,6.0,95.0,50.0,44.0,28.0,16.0,5.0,5.0,12.0,6.0,103.0,69.0,53.0,16.0,14.0,9.0,11.0,39,1122,17.0,2145.0,1,1/1/2024,ATP250,Outdoor,Hard,1st Round,3,39,17.0,1122,2145.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.63
2024-0339,Brisbane,Hard,32,A,20240101,280,200615,,,Alexei Popyrin,R,196.0,AUS,24.4,106331,,,Christopher Oconnell,R,183.0,AUS,29.5,6-4 6-7(5) 7-6(4),3,R32,185.0,12.0,2.0,107.0,68.0,55.0,23.0,17.0,4.0,5.0,21.0,0.0,127.0,78.0,56.0,26.0,17.0,7.0,9.0,40,1084,68.0,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-0339,Brisbane,Hard,32,A,20240101,279,208286,,,Matteo Arnaldi,R,185.0,ITA,22.8,105916,,,Marton Fucsovics,R,188.0,HUN,31.8,6-7(5) 6-4 7-6(7),3,R32,187.0,6.0,2.0,122.0,66.0,48.0,39.0,17.0,2.0,2.0,11.0,1.0,101.0,61.0,47.0,30.0,17.0,1.0,2.0,44,1021,59.0,882.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,44,59.0,1021,882.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.91,1.91,2.05,1.85,2.05,2.1,1.82,1.98
2024-0339,Brisbane,Hard,32,A,20240101,278,127760,,Q,Lukas Klein,R,193.0,SVK,25.7,202104,6.0,,Sebastian Baez,R,170.0,ARG,23.0,4-6 6-3 6-4,3,R32,134.0,9.0,2.0,83.0,51.0,38.0,18.0,15.0,3.0,5.0,3.0,2.0,115.0,92.0,53.0,14.0,14.0,11.0,14.0,170,359,28.0,1435.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,170,28.0,359,1435.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.02,1.88,2.22,1.88,2.04,1.76
2024-0339,Brisbane,Hard,32,A,20240101,277,106186,,WC,Jason Kubler,R,178.0,AUS,30.6,106234,8.0,,Aslan Karatsev,R,185.0,RUS,30.3,6-4 6-7(4) 0-0 RET,3,R32,143.0,5.0,1.0,76.0,49.0,31.0,13.0,11.0,6.0,9.0,2.0,6.0,70.0,39.0,29.0,14.0,11.0,4.0,8.0,102,631,35.0,1193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-0339,Brisbane,Hard,32,A,20240101,276,104745,,WC,Rafael Nadal,L,185.0,ESP,37.5,106233,,Q,Dominic Thiem,R,185.0,AUT,30.3,7-5 6-1,3,R32,89.0,3.0,1.0,46.0,31.0,28.0,12.0,10.0,0.0,0.0,3.0,3.0,54.0,34.0,23.0,10.0,9.0,3.0,6.0,672,45,98.0,652.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,672,98.0,45,652.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.6,2.48,1.63,2.48,1.58,2.33
2024-0339,Brisbane,Hard,32,A,20240101,275,111442,,,Jordan Thompson,R,183.0,AUS,29.7,126846,,,Aleksandar Vukic,R,188.0,AUS,27.7,6-3 6-2,3,R32,96.0,7.0,1.0,46.0,28.0,23.0,11.0,9.0,0.0,1.0,3.0,0.0,54.0,32.0,18.0,10.0,8.0,4.0,8.0,55,902,62.0,835.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,55,62.0,902,835.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.56,2.58,1.57,2.63,1.54,2.46
2024-0339,Brisbane,Hard,32,A,20240101,274,200005,4.0,,Ugo Humbert,L,188.0,FRA,25.5,210506,,Q,Alex Michelsen,R,193.0,USA,19.3,6-4 6-4,3,R32,95.0,4.0,1.0,53.0,29.0,24.0,19.0,10.0,2.0,2.0,5.0,5.0,72.0,38.0,24.0,18.0,10.0,8.0,10.0,20,1765,97.0,653.0,1,1/3/2024,ATP250,Outdoor,Hard,1st Round,3,20,97.0,1765,653.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,2.97,1.44,3.1,1.4,2.87
2024-0339,Brisbane,Hard,32,A,20240101,273,207830,,Q,Tomas Machac,R,183.0,CZE,23.2,144869,7.0,,Tomas Martin Etcheverry,R,196.0,ARG,24.4,6-7(5) 7-5 7-6(1),3,R32,189.0,5.0,1.0,111.0,70.0,57.0,21.0,18.0,4.0,6.0,6.0,2.0,116.0,82.0,59.0,17.0,18.0,5.0,8.0,78,722,30.0,1375.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,78,30.0,722,1375.0,6.0,7.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02
2024-0339,Brisbane,Hard,32,A,20240101,272,208014,,WC,Rinky Hijikata,R,178.0,AUS,22.8,106423,,,Thanasi Kokkinakis,R,193.0,AUS,27.7,7-6(8) 6-2,3,R32,97.0,4.0,1.0,67.0,39.0,33.0,16.0,10.0,2.0,2.0,16.0,1.0,62.0,47.0,36.0,6.0,10.0,2.0,4.0,71,744,65.0,802.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,71,65.0,744,802.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.71,1.52,2.75,1.55,2.57,1.49
2024-0339,Brisbane,Hard,32,A,20240101,271,127157,,,Daniel Altmaier,R,188.0,GER,25.3,111454,,Q,Li Tu,R,183.0,AUS,27.5,7-6(5) 7-6(4),3,R32,121.0,7.0,1.0,81.0,55.0,42.0,17.0,12.0,0.0,0.0,3.0,2.0,83.0,46.0,38.0,22.0,12.0,2.0,2.0,56,891,225.0,280.0,1,1/2/2024,ATP250,Outdoor,Hard,1st Round,3,56,225.0,891,280.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.64,2.39,1.64,2.4,1.59,2.32
2024-0339,Brisbane,Hard,32,A,20240101,270,105777,2.0,,Grigor Dimitrov,R,191.0,BUL,32.6,104918,,,Andy Murray,R,191.0,GBR,36.6,4-6 7-5 6-2,3,R32,147.0,13.0,2.0,82.0,51.0,42.0,16.0,15.0,3.0,5.0,4.0,0.0,86.0,51.0,32.0,21.0,15.0,4.0,8.0,14,2570,42.0,1050.0,1,1/1/2024,ATP250,Outdoor,Hard,1st Round,3,14,42.0,2570,1050.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.47,1.36,3.5,1.33,3.25
2024-0336,Hong Kong,Hard,32,A,20240101,300,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,6-4 6-4,3,F,77.0,5.0,0.0,58.0,40.0,29.0,14.0,10.0,1.0,1.0,5.0,4.0,62.0,39.0,26.0,12.0,10.0,5.0,7.0,5,4805,69.0,771.0,2,1/7/2024,ATP250,Outdoor,Hard,The Final,3,5,69.0,4805,771.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.34,3.56,1.34,4.01,1.29,3.59
2024-0336,Hong Kong,Hard,32,A,20240101,299,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,4-6 6-2 6-3,3,SF,129.0,12.0,1.0,98.0,55.0,38.0,29.0,14.0,13.0,14.0,4.0,3.0,78.0,45.0,27.0,19.0,13.0,5.0,8.0,5,4805,183.0,335.0,2,1/6/2024,ATP250,Outdoor,Hard,Semifinals,3,5,183.0,4805,335.0,4.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,1.14,5.5,1.18,5.78,1.18,5.78,1.15,5.27
2024-0336,Hong Kong,Hard,32,A,20240101,298,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,124116,,,Sebastian Ofner,R,191.0,AUT,27.6,4-6 7-5 6-3,3,SF,132.0,9.0,1.0,88.0,60.0,48.0,16.0,16.0,2.0,4.0,11.0,1.0,100.0,56.0,40.0,22.0,15.0,9.0,12.0,69,771,43.0,1048.0,2,1/6/2024,ATP250,Outdoor,Hard,Semifinals,3,69,43.0,771,1048.0,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.38,1.67,2.35,1.67,2.4,1.62,2.28
2024-0336,Hong Kong,Hard,32,A,20240101,297,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,209950,8.0,,Arthur Fils,R,185.0,FRA,19.5,6-4 1-6 6-2,3,QF,112.0,8.0,0.0,65.0,41.0,31.0,15.0,12.0,4.0,6.0,12.0,7.0,92.0,53.0,38.0,15.0,13.0,7.0,10.0,5,4805,36.0,1158.0,2,1/5/2024,ATP250,Outdoor,Hard,Quarterfinals,3,5,36.0,4805,1158.0,6.0,4.0,1.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.3,3.5,1.32,3.71,1.32,3.83,1.29,3.54
2024-0336,Hong Kong,Hard,32,A,20240101,296,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,126207,3.0,,Frances Tiafoe,R,188.0,USA,25.9,6-4 6-4,3,QF,89.0,3.0,1.0,54.0,25.0,19.0,23.0,10.0,1.0,1.0,12.0,2.0,56.0,34.0,28.0,11.0,10.0,6.0,8.0,183,335,16.0,2310.0,2,1/5/2024,ATP250,Outdoor,Hard,Quarterfinals,3,183,16.0,335,2310.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.75,1.29,3.7,1.33,3.85,1.33,3.51,1.29
2024-0336,Hong Kong,Hard,32,A,20240101,295,124116,,,Sebastian Ofner,R,191.0,AUT,27.6,105138,,,Roberto Bautista Agut,R,183.0,ESP,35.7,6-4 6-4,3,QF,84.0,21.0,0.0,57.0,43.0,35.0,7.0,10.0,0.0,0.0,0.0,2.0,68.0,50.0,35.0,8.0,10.0,4.0,6.0,43,1048,57.0,886.0,2,1/5/2024,ATP250,Outdoor,Hard,Quarterfinals,3,43,57.0,1048,886.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.2,1.36,2.85,1.48,3.2,1.48,2.83,1.42
2024-0336,Hong Kong,Hard,32,A,20240101,294,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,200303,,,Pavel Kotov,R,191.0,RUS,25.1,6-3 7-6(4),3,QF,108.0,5.0,0.0,76.0,44.0,33.0,19.0,11.0,5.0,6.0,3.0,2.0,63.0,45.0,30.0,10.0,10.0,1.0,3.0,69,771,67.0,791.0,2,1/5/2024,ATP250,Outdoor,Hard,Quarterfinals,3,69,67.0,771,791.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.64,2.42,1.7,2.42,1.6,2.29
2024-0336,Hong Kong,Hard,32,A,20240101,293,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,106281,,Q,Liam Broady,L,183.0,GBR,29.9,6-4 7-6(8),3,R16,110.0,10.0,3.0,69.0,38.0,31.0,18.0,11.0,1.0,3.0,4.0,2.0,91.0,62.0,43.0,10.0,11.0,7.0,10.0,5,4805,108.0,608.0,2,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,5,108.0,4805,608.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.11,7.85,1.11,8.01,1.09,7.05
2024-0336,Hong Kong,Hard,32,A,20240101,292,209950,8.0,,Arthur Fils,R,185.0,FRA,19.5,144817,,Q,Marc Andrea Huesler,L,196.0,SUI,27.5,7-5 7-5,3,R16,120.0,3.0,5.0,78.0,51.0,38.0,11.0,12.0,5.0,7.0,9.0,4.0,94.0,55.0,37.0,16.0,12.0,11.0,15.0,36,1158,194.0,312.0,2,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,36,194.0,1158,312.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,3.02,1.46,3.05,1.4,2.91
2024-0336,Hong Kong,Hard,32,A,20240101,291,126207,3.0,,Frances Tiafoe,R,188.0,USA,25.9,200175,,,Miomir Kecmanovic,R,183.0,SRB,24.3,6-3 7-6(4),3,R16,92.0,8.0,1.0,69.0,42.0,37.0,14.0,11.0,3.0,3.0,3.0,1.0,70.0,39.0,28.0,18.0,10.0,2.0,3.0,16,2310,54.0,905.0,2,1/3/2024,ATP250,Outdoor,Hard,2nd Round,3,16,54.0,2310,905.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.82,2.08,1.91,2.1,1.79,2.0
2024-0336,Hong Kong,Hard,32,A,20240101,290,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,122298,,,Botic Van De Zandschulp,R,191.0,NED,28.2,6-7(5) 7-6(2) 7-6(2),3,R16,212.0,2.0,6.0,129.0,70.0,51.0,31.0,18.0,5.0,8.0,13.0,1.0,116.0,72.0,50.0,25.0,18.0,4.0,7.0,183,335,50.0,930.0,2,1/3/2024,ATP250,Outdoor,Hard,2nd Round,3,183,50.0,335,930.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.62,2.6,1.55,2.6,1.65,2.37,1.57
2024-0336,Hong Kong,Hard,32,A,20240101,289,124116,,,Sebastian Ofner,R,191.0,AUT,27.6,105526,5.0,,Jan Lennard Struff,R,193.0,GER,33.6,6-7(4) 7-6(5) 7-6(2),3,R16,167.0,16.0,1.0,123.0,70.0,55.0,29.0,18.0,4.0,6.0,14.0,4.0,131.0,76.0,56.0,29.0,18.0,10.0,12.0,43,1048,25.0,1522.0,2,1/4/2024,ATP250,Outdoor,Hard,2nd Round,3,43,25.0,1048,1522.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.67,2.14,1.79,2.25,1.82,2.09,1.73
